Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
174988785;2023.11.14 17:50:26;buy;0.01;gbpusd#;124.514;124.671;0.00000;2023.11.14 18:10:06;124.671;0.00;0.00;0.00;1.45
174902316;2023.11.09 22:14:45;sell;0.01;audchf#;0.57592;0.00000;0.00000;2023.11.09 22:28:13;0.57587;0.00;0.00;0.00;0.05
174895296;2023.11.09 18:13:19;buy;0.01;audusd#;0.64218;0.64221;0.00000;2023.11.14 15:30:47;0.64221;0.00;0.00;0.00;0.03
174888630;2023.11.09 15:30:25;buy;0.01;usdchf#;0.90100;0.90104;0.00000;2023.11.09 15:33:37;0.90103;0.00;0.00;0.00;0.03
174887002;2023.11.09 14:46:57;buy;0.01;eurgbp#;0.87162;0.87194;0.00000;2023.11.09 15:31:12;0.87194;0.00;0.00;0.00;0.37
174885800;2023.11.09 14:09:15;buy;0.01;usdjpy#;151.089;151.134;0.000;2023.11.09 14:30:43;151.134;0.00;0.00;0.00;0.28
174885704;2023.11.09 14:04:37;buy;0.01;usdjpy#;151.126;151.133;0.000;2023.11.09 14:30:44;151.133;0.00;0.00;0.00;0.05
174884046;2023.11.09 13:11:19;sell;0.10;eurgbp#;0.87079;0.00000;0.87067;2023.11.14 09:28:10;0.87066;0.00;0.00;0.00;1.49
174883612;2023.11.09 12:59:18;sell;0.01;gold#;1947.05;1946.84;0.00;2023.11.09 13:01:58;1946.93;0.00;0.00;0.00;0.11
174879960;2023.11.09 11:13:42;buy;0.01;eurgbp#;0.87004;0.87046;0.00000;2023.11.09 13:03:22;0.87062;0.00;0.00;0.00;0.67
174875264;2023.11.09 08:40:26;sell;0.01;eurusd#;107.064;107.060;0.00000;2023.11.09 09:21:22;107.060;0.00;0.00;0.00;0.04
174875218;2023.11.09 08:36:40;buy;0.01;usdjpy#;150.989;151.024;0.000;2023.11.09 10:31:44;151.019;0.00;0.00;0.00;0.19
174865531;2023.11.08 20:48:17;sell;1.00;oil-dec23;75.28;0.00;0.00;2023.11.16 00:48:36;76.59;0.00;0.00;0.00;-120.77
174865407;2023.11.08 20:41:04;sell;0.01;gold#;1952.53;1952.31;0.00;2023.11.08 20:45:47;1952.32;0.00;0.00;0.00;0.20
174864069;2023.11.08 19:55:29;sell;0.01;gbpjpy#;185.450;185.447;0.000;2023.11.09 00:11:18;185.470;0.00;0.00;0.00;-0.12
174863846;2023.11.08 19:42:21;sell;0.01;usdchf#;0.89915;0.89899;0.00000;2023.11.08 20:07:43;0.89899;0.00;0.00;0.00;0.17
174863662;2023.11.08 19:33:38;sell;0.10;usdchf#;0.89937;0.89917;0.00000;2023.11.08 19:41:00;0.89917;0.00;0.00;0.00;2.08
174863497;2023.11.08 19:29:18;sell;0.10;usdchf#;0.89897;0.89895;0.00000;2023.11.08 20:07:33;0.89898;0.00;0.00;0.00;-0.10
174858271;2023.11.08 17:55:01;buy;0.10;usdjpy#;150.839;150.877;0.000;2023.11.08 19:35:23;150.895;0.00;0.00;0.00;3.47
174856617;2023.11.08 17:25:27;buy;0.01;audchf#;0.57732;0.57737;0.00000;2023.11.09 09:37:00;0.57735;0.00;0.00;0.00;0.03
174856123;2023.11.08 17:05:02;buy;0.01;gbpusd#;122.746;122.749;0.00000;2023.11.08 17:07:35;122.745;0.00;0.00;0.00;-0.01
174855715;2023.11.08 16:59:21;sell;0.01;gbpusd#;122.812;122.739;0.00000;2023.11.08 17:04:12;122.739;0.00;0.00;0.00;0.68
174855624;2023.11.08 16:55:08;sell;0.01;gbpjpy#;185.267;185.246;0.000;2023.11.08 17:02:45;185.248;0.00;0.00;0.00;0.12
174854779;2023.11.08 16:31:42;sell;0.01;usdchf#;0.89998;0.89965;0.00000;2023.11.08 16:37:06;0.89965;0.00;0.00;0.00;0.35
174854230;2023.11.08 16:09:57;sell;0.01;silver#;22.719;22.770;22.620;2023.11.08 16:16:02;22.770;0.00;0.00;0.00;-2.39
174854107;2023.11.08 16:03:18;buy;0.10;usdjpy#;150.893;0.000;0.000;2023.11.08 17:27:01;150.910;0.00;0.00;0.00;1.05
